date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:06	7076/7076	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:06%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_index.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_index.html	(from )
12:34:06	2835/2835	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202022%2010:34:06%20GMT	https://www.svetmightandmagic.cz/robots.txt		(from )
12:34:06	16919/16919	---M-Z	200	added ('OK')	text/css	etag:%224217-5d690d65697b3-gzip%22	https://www.svetmightandmagic.cz/styl.css	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/styl.css	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:06	922/922	---M--	200	added ('OK')	image/png	etag:%2239a-529f417c37dc0%22	https://www.svetmightandmagic.cz/images/tl_mmi.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmi.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:07	929/929	---M--	200	added ('OK')	image/png	etag:%223a1-529f417c37dc0%22	https://www.svetmightandmagic.cz/images/tl_mmii.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmii.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:07	928/928	---M--	200	added ('OK')	image/png	etag:%223a0-529f417c37dc0%22	https://www.svetmightandmagic.cz/images/tl_mmiii.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmiii.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:07	1415/1415	---M--	200	added ('OK')	image/png	etag:%22587-529f417c37dc0%22	https://www.svetmightandmagic.cz/images/tl_mmw.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmw.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:07	1581/1581	---M--	200	added ('OK')	image/png	etag:%2262d-5c5692417f928%22	https://www.svetmightandmagic.cz/images/tl_mms.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mms.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:07	1014/1014	---M--	200	added ('OK')	image/png	etag:%223f6-529f417b43b80%22	https://www.svetmightandmagic.cz/images/tl_mmvi_a.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmvi_a.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:08	1028/1028	---M--	200	added ('OK')	image/png	etag:%22404-529f417c37dc0%22	https://www.svetmightandmagic.cz/images/tl_mmvii.png	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/images/tl_mmvii.png	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
